ids,smiles,inchikey_wo_last
CNP0279328.1,C/C=C(\C)C(=O)O[C@H]1[C@H](O)C(C)(C)C[C@H]2[C@]13[C@@H](OC(=O)CCC)C[C@@]1(C)[C@]4(C)CC[C@H]5C(C)(C)[C@H](O[C@@H]6O[C@@H](C(=O)O)[C@H](O)[C@H](O[C@H]7O[C@H](CO)[C@H](O)[C@H](O)[C@@H]7O[C@@H]7O[C@H](C)[C@@H](O)[C@@H](O)[C@@H]7O)[C@@H]6O[C@@H]6O[C@H](CO)[C@H](O)[C@@H](O)[C@H]6O)CC[C@@]5(C)[C@@H]4CC[C@@]21O[C@@H]3O,YNLWRJHHUJRDGW-CIVIZKKPSA-
CNP0545405.1,CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC,GJGMXLAIMFVFCZ-ZEJGDUPKSA-
CNP0122405.1,CN1[C@@H]2C[C@@H](OC(=O)c3ccccc3)C[C@H]1[C@H](O)[C@@H]2O,BYPCSLILSRLHGE-KLLCGCCRSA-
CNP0582495.1,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCC,DMUWXJIUQDPTII-HUACQTDTSA-
CNP0224753.2,CC(=O)OCC1=C/[C@@H]2OC(=O)[C@H](C)[C@@]2(O)[C@@H](OC(C)=O)[C@H]2C(C)=CC[C@H](OC(C)=O)[C@]2(C)[C@@H](OC(C)=O)/C=C\1,BTINDMSRMIILMM-IKMUEXBSSA-
LTS0178660,C=CC1(C)CCC2C(C)(CCC=C(C)C)C3CC3C2(C)O1,NWXSZHOIGZOOBE-UHFFFAOYSA-
CNP0208265.2,C=CCNC(=O)O[C@@H]1CC[C@]2(C)[C@@H](CC[C@@H](O)[C@H]2CC(=O)NCc2cccs2)[C@]1(C)CO,RXKSXUPSFJQPBD-LQCNHDFWSA-
CNP0120433.1,O=C(O)C[C@H]1OC[C@@H](O)[C@H](O)[C@H]1OC(=O)C1=Cc2c(cc(O)c(O)c2-c2c(O)c(O)cc3c2C=C(C(=O)O)[C@@H](C(=O)O)[C@@H]3c2ccc(O)c(O)c2)[C@@H](c2ccc(O)c(O)c2)[C@@H]1C(=O)O,NZVOYXMWNIGTLX-SJELJKPJSA-
CNP0234857.1,CC(=O)O[C@H]1C=C[C@@]23c4cc5c(cc4C[N@@](C[C@@H]2O)[C@H]3C1)OCO5,NWAYYOQRSAEORM-JUKXBJQTSA-
CNP0263522.0,COc1cc(O)c(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)c(OC)c1OC,RRYQZGLVFCZNGY-UHFFFAOYSA-
CNP0307653.1,CC(=O)OC[C@]12[C@H](OC(C)=O)[C@@H](O)[C@@H]3[C@@H](OC(C)=O)[C@@]14O[C@@]3(C)COC(=O)c1cccnc1[C@@H](C)[C@H](C)C(=O)O[C@@H]([C@H](O)[C@@H]2OC(C)=O)[C@]4(C)O,SHDBRMQJPSDFRT-KMPJZEJPSA-
CNP0287250.1,C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3CC[C@]4(C)[C@H]5CC=C6[C@@H]7CC(C)(C)CC[C@]7(C(=O)O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)CC[C@@]6(C)[C@]5(C)CC[C@H]4C3(C)C)O[C@@H]2C(=O)O)[C@H](O)[C@H](O)[C@H]1O,FWGUQBCYEUGRPQ-IRWWUQPRSA-
CNP0171040.4,CC1C[C@H](O)CC(=O)c2c(O)cc(O)cc2CC(=O)O1,OESLECARYLNMSC-NETXQHHPSA-
LTS0021436,CC(=O)OC1CC2(O)C3CCC4=CC(OC5OC(CO)C(O)C(O)C5O)CCC4(C)C3CCC2(C)C1c1coc(=O)cc1,YNJFTCNGKDLURQ-UHFFFAOYSA-
LTS0222203,C=C1CCC(Br)C(C)(C)C12CCC(C)(O)C(Br)C2,XKZBJLLGSVRRPF-UHFFFAOYSA-
CNP0495795.0,CC(C)C=c1nc(O)c(=Cc2ccccc2)nc1O,LCIIOYPBHIZBOD-UHFFFAOYSA-
LTS0264757,COc1cc(C(Cc2ccccc2)n2cc(C(N)=O)c(=O)cc2Cc2ccccc2)oc(=O)c1,CPVCVIXCXKPURM-UHFFFAOYSA-
CNP0253554.1,C[C@@H]1CO[C@@]2(O[C@H]3C[C@H]4[C@@H]5C[C@H](O[C@@]6([C@H]7OC[C@H](O)[C@@H](O)[C@@H]7O)O[C@@H](C)[C@H](O)[C@@H](O)[C@@H]6O)[C@H]6C[C@@H](O)CC[C@]6(C)[C@H]5CC[C@]4(C)[C@H]3[C@@H]2C)[C@H](O)C1,RFHNNPCKZUHCJN-DKBSBKHHSA-
CNP0573952.1,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC,PNEWRAIJNFNZRF-XSCZIMBPSA-
CNP0392733.1,C=C(CC[C@](C)(O)[C@H]1CC[C@]2(C)[C@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C[C@@H]3CC[C@]12C)C(C)C,RHRAEKUDRLUMRY-FPANLOEQSA-
CNP0405134.1,CC[C@H](C)[C@H](NC(=O)COc1ccc2c(C)cc(=O)oc2c1)c1nc2ccccc2[nH]1,DCMJSLGPUCMDIN-PSLXWICFSA-
CNP0599594.1,CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC(C)C,OZUZRYKOJRICIQ-NLXJDERGSA-
CNP0286108.14,C=C1CC[C@H]2[C@](C)(CO)[C@@H](O)CC[C@]2(C)[C@H]1C/C=C1/C(=O)OC[C@H]1O,BOJKULTULYSRAS-AKEXUFISSA-
CNP0469175.1,COC(=O)c1cn([C@H]2CO[C@H]3[C@@H]2OC[C@@H]3NCc2ccc(N(C)C)cc2)nn1,UHKPCAQZRIULDM-WNRNVDISSA-
CNP0492969.1,CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)(O)OC[C@H](N)C(=O)O,CMEYODOSAQTQFO-SAIUNTKASA-
CNP0280706.5,C=C1[C@H](OC(=O)/C=C/c2ccccc2)CC[C@@]2(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@]34[C@H](C)C(=O)C[C@@H]([C@H](OC(C)=O)[C@@]132)C4(C)C,RDKGWOCOLMOGRF-GTRTTYDVSA-
CNP0124159.1,C=C1C(=O)O[C@H]2[C@H]1[C@H](OC(=O)/C(C)=C/C)[C@@H]1O[C@@H]3C=C(C)[C@H]2[C@@H]3[C@@]12CO2,VACITEYYFZYHNT-HFQDAWPGSA-
CNP0596538.1,CCCCC1=[O+]C(CCc2ccc(O)c(OC[C@H](NCC)[C+]3C=C4C(=N3)CC[C@H]3CCC[C@@H]3[C@H]4[C@H](CNC)NC[C@H](C)O)c2)=CC1CO,JLKGEAPGTHPPGB-JGBXIJEASA-
CNP0135759.1,C#C/C=C/C[C@@H]1O[C@@H]2C[C@H]1O[C@H](CC)C=C[C@@H]2O,GOJYGMSDJSXFHL-USXYSRKZSA-
CNP0238304.0,COc1c(C(C)C)cc2CCC3C4c2c1OC(=O)C4CCC3(C)C,NRKDGGOZWKDHMW-UHFFFAOYSA-
LTS0090763,CC1CCC2(OC1)OC1CC3C4CCC5CC(OC6OC(CO)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C1(O)C2C,FMWZYCJVASHAKM-UHFFFAOYSA-
LTS0026303,CC(=O)C12CC(C3(C)C=CCC4(C)C(c5cocc5)OC(=O)C5OC534)OC1CC(=O)OC2(C)C,LNWKVURUDFLMSX-UHFFFAOYSA-
LTS0274286,CC1=CC(=O)C23[C@@H]([C@@H](C(C)C)CC[C@@H]2C)[C@H]13,OZMQICPXNIVENO-UGDUAMEYSA-
CNP0049431.1,CSCC(=O)N1CC[C@H](NC(=O)NC2CCCCC2)[C@H]1C(=O)N[C@H](Cc1ccccc1)C(N)=O,CFICXHCMYQFXRO-ZVDOUQERSA-
CNP0316264.1,COc1cc(C[C@H](CO)[C@H](CO)Cc2cc(OC)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)c2)cc(OC)c1O,DDRMVOZHGRHVOK-HLFIFXJBSA-
CNP0093251.1,CC1(C)OC[C@H]([C@H](c2nccs2)N(O)Cc2ccccc2)O1,BTXCBXLXVMKPGS-ZIAGYGMSSA-
LTS0213274,CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1cccc(O)c1O,LAFPFYIDQKOVRZ-WGUKNHOESA-
CNP0152975.2,CC(=O)OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2c2c(O)cc(O)c3c2oc(-c2ccc(O)cc2)cc3=O)[C@H](O)[C@@H](O)[C@@H]1O,STVDBJBIGCSBKU-FZJDYRAJSA-
CNP0171704.1,C=C1C[C@@H]2[C@]3(C)C=CC(=O)C(C)(C)C3=C(O)C(=O)[C@@]2(C)[C@@]2(C(=O)OC)C(=O)O[C@@H](C)C(=O)[C@@]12C,JGFZRWOPAPPIDA-ANHAFHADSA-
CNP0340069.1,CNC(=N)N[C@H]1C#C[C@H]2C[C@]3(C=C(Cc4cc5ccccc5[nH]4)[C@]24[C@@H]2CCC[C@@]5(O)[C@H]6C[C@H](O)[C@@](O)(C1)[C@H]6[C@@H]4CC[C@@H]25)CC[C@](O)(Cn1ccnc1)C3,BLWPVOYUFKUFCH-HSLWIOBRSA-
CNP0596393.1,COC(=O)[C@]1(C)[C@@H](OC(C)=O)CC[C@@]23C(=O)O[C@H]4c5c(cco5)[C@H](C)[C@H](CC[C@@H]12)[C@H]43,GHOKJZDDFSAPAR-DSSVKQQFSA-
CNP0142351.1,O=C(O)/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,LJFYQZQUAULRDF-FDGSXQGBSA-
CNP0271527.2,C=C1CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C,DYLPEFGBWGEFBB-OSFYFWSMSA-
CNP0488546.2,CCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC(C)CC)COC(=O)CCCCCCCCCCCCCCCC(C)C,SUPJBNAKWARHJM-MBLVYYNZSA-
CNP0023989.0,NC(=O)C(Cl)(Cl)Cl,UPQQXPKAYZYUKO-UHFFFAOYSA-
CNP0414222.0,COc1ccc(-c2c(CC(=O)NC(c3ccc(OC)cc3)C(C)C)c3c(o2)c(=O)cc(C)o3)cc1,SEWFKKRFCMSKPH-UHFFFAOYSA-
CNP0510553.1,Nc1cc(CC[C@]2(O)[C@H](O)[C@@H](CO)O[C@@H](Oc3cccc4c3C(=O)[C@@H]3C(O)=CC(Cc5cccc(CO)c5)=C[C@@H]3C4=O)[C@@H]2O)ccn1,MFXCIMLEHCVRQN-MFPVFPNCSA-
CNP0581764.0,CCN1CCN(Cc2ccc(C(=O)NCc3ccc(OC)cc3)cc2)C(=O)C1=O,OEPAFDBUVOHNFU-UHFFFAOYSA-
CNP0114398.1,CC[C@@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@H]([C@H](C)O)N2C(=O)[C@@H](CC[C@@H]2O)NC(=O)[C@@H](CCc2ccc(O)cc2)NC(=O)[C@H](NC(=O)[C@@H](CCC(N)=O)NC=O)[C@@H](C)OC1=O,OWICVIMBSMKDHR-ZJIVFRPZSA-
CNP0129916.1,CCCCCC/C=C\CCCCCCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,SKQHGVYVWIKEKJ-YLNCNTMDSA-
CNP0583536.0,N#[N+]C=C([O-])CCC([O-])=C[N+]#N,YRDXWCJQMHHUTN-UHFFFAOYSA-
CNP0177666.1,COc1ccc(CCN2C[C@@H](C(=O)N(C)C[C@@H]3CCCN4CCCC[C@H]34)CC2=O)cc1OC,CBTONCXVHJOHKF-FDFHNCONSA-
CNP0437918.0,O=P(COP(=O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,APIIZJWNTQTJMY-UHFFFAOYSA-
CNP0399454.0,CC(C)Oc1ncccc1C(=O)O,FDVRXYBXOOUUQY-UHFFFAOYSA-
LTS0265367,CC12CC3(O)OC(O1)C1(CO)C3CC21OC1OC(CO)C(O)C(O)C1O,LTXNSYGCFNCQRW-UHFFFAOYSA-
CNP0555391.2,CCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC,QJJSWWHQFVESPR-VCZQVZGSSA-
CNP0244370.1,COc1ccc([C@H]2C[C@@H](O)[C@@H](O)[C@@H]2NC(=O)c2ccc(C#N)cc2)cc1,ABLKNHNSIPMDCZ-NCXUSEDFSA-
CNP0358085.1,COc1cccc([C@H]2NCCc3cc(O)ccc32)c1,XVJJUGHJHBJOBJ-MRXNPFEDSA-
CNP0374925.0,CCOC(=O)CCc1c(C)c2ccc(OCc3ccc(C)cc3)c(C)c2oc1=O,ZXSNNWGDFUTBRP-UHFFFAOYSA-
CNP0166135.1,COc1cc(=O)oc([C@@H](O)Cc2ccccc2)c1,VIRRKTGDXDKRKV-LBPRGKRZSA-
CNP0197051.1,O=C(c1ccc(Cl)cc1)N1C[C@@H]2COCCN2C2(C1)CN(C1CCCC1)C2,BJUVOFIQRBGNLE-LJQANCHMSA-
CNP0401956.2,c1ccc2O[C@@H](C3=NCCN3)COc2c1,HPMRFMKYPGXPEP-SNVBAGLBSA-
